,allocamt,n_units,li_units,n_0br,n_1br,n_2br,n_3br,n_4br,inc_ceil,low_ceil,ceilunit,yr_pis,yr_alloc,non_prof,basis,bond,mff_ra,fmha_514,fmha_515,fmha_538,home,home_amt,tcap_amt,cdbg,cdbg_amt,fha,hopevi,hpvi_amt,tcep,tcep_amt,rentassist,trgt_pop,trgt_fam,trgt_eld,trgt_dis,trgt_hml,trgt_other,type,credit,n_unitsr,li_unitr,metro,dda,qct
793,353361.0,40.0,40.0,0.0,10.0,20.0,10.0,0.0,2.0,1.0,40.0,2007,2007.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1057610.0,1236940.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,40.0,40.0,1.0,0.0,2.0
833,846300.0,96.0,96.0,0.0,24.0,48.0,24.0,0.0,2.0,1.0,96.0,2009,2008.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,3691580.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,96.0,96.0,1.0,0.0,2.0
840,444822.0,40.0,40.0,0.0,12.0,28.0,0.0,0.0,2.0,1.0,40.0,2009,2009.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1857970.0,845160.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,40.0,40.0,1.0,0.0,2.0
842,616777.0,56.0,56.0,0.0,12.0,44.0,0.0,0.0,2.0,1.0,56.0,2009,2009.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2550010.0,1292290.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,56.0,56.0,1.0,0.0,1.0
843,200000.0,56.0,56.0,0.0,0.0,56.0,0.0,0.0,2.0,1.0,56.0,2009,2008.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2119730.0,4578970.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,56.0,56.0,1.0,0.0,2.0
845,553852.0,48.0,48.0,0.0,16.0,30.0,2.0,0.0,2.0,1.0,48.0,2009,2009.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2324440.0,1506930.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,48.0,48.0,1.0,0.0,2.0
847,399999.0,56.0,56.0,0.0,0.0,56.0,0.0,0.0,2.0,1.0,56.0,2009,2009.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2531300.0,3745000.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,56.0,56.0,1.0,0.0,2.0
848,200000.0,56.0,56.0,0.0,20.0,36.0,0.0,0.0,2.0,1.0,56.0,2009,2009.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2168260.0,3863210.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,56.0,56.0,1.0,0.0,2.0
5271,347497.0,20.0,19.0,7.0,1.0,12.0,0.0,0.0,2.0,1.0,19.0,2010,2009.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,388241.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,20.0,19.0,1.0,0.0,1.0
5791,414292.0,82.0,80.0,0.0,40.0,26.0,16.0,0.0,2.0,1.0,25.0,2013,2012.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,82.0,80.0,1.0,1.0,1.0
