,,sd_cnts,ca_cnts,us_cnts,sd_%_of_ca,ca_%_of_us
inc_ceil,1.0,12.0,194.0,3803,6.19,5.1
inc_ceil,2.0,282.0,4189.0,26535,6.73,15.79
inc_ceil,3.0,2.0,40.0,283,5.0,14.13
inc_ceil,missing,24.0,179.0,21386,13.41,0.84
trgt_pop,1.0,218.0,3617.0,26108,6.03,13.85
trgt_pop,2.0,77.0,800.0,9790,9.62,8.17
trgt_pop,missing,25.0,185.0,16109,13.51,1.15
trgt_fam,1.0,151.0,2154.0,16579,7.01,12.99
trgt_fam,2.0,41.0,955.0,10309,4.29,9.26
trgt_fam,missing,128.0,1493.0,25119,8.57,5.94
trgt_eld,1.0,50.0,955.0,8678,5.24,11.0
trgt_eld,2.0,22.0,426.0,12071,5.16,3.53
trgt_eld,missing,248.0,3221.0,31258,7.7,10.3
trgt_dis,1.0,9.0,82.0,4922,10.98,1.67
trgt_dis,2.0,24.0,460.0,13120,5.22,3.51
trgt_dis,missing,287.0,4060.0,33965,7.07,11.95
trgt_hml,1.0,23.0,183.0,2430,12.57,7.53
trgt_hml,2.0,24.0,460.0,12971,5.22,3.55
trgt_hml,missing,273.0,3959.0,36606,6.9,10.82
trgt_other,1.0,26.0,444.0,3599,5.86,12.34
trgt_other,2.0,9.0,110.0,12920,8.18,0.85
trgt_other,missing,285.0,4048.0,35488,7.04,11.41
type,1.0,188.0,2762.0,27662,6.81,9.98
type,2.0,113.0,1637.0,16735,6.9,9.78
type,3.0,2.0,40.0,871,5.0,4.59
type,4.0,1.0,,139,,
type,missing,16.0,163.0,6600,9.82,2.47
credit,1.0,173.0,2017.0,13033,8.58,15.48
credit,2.0,122.0,2250.0,20660,5.42,10.89
credit,3.0,2.0,73.0,4892,2.74,1.49
credit,4.0,6.0,93.0,1316,6.45,7.07
credit,missing,17.0,169.0,12106,10.06,1.4
dda,0.0,37.0,988.0,13669,3.74,7.23
dda,1.0,133.0,1174.0,2702,11.33,43.45
dda,2.0,,88.0,913,,9.64
dda,3.0,,,296,,
dda,4.0,,,124,,
dda,missing,150.0,2352.0,34303,6.38,6.86
yr_alloc,missing,1.0,,3355,,
yr_alloc,1987,8.0,44.0,908,18.18,4.85
yr_alloc,1988,4.0,142.0,2396,2.82,5.93
yr_alloc,1989,8.0,121.0,2472,6.61,4.89
yr_alloc,1990,,69.0,1323,,5.22
yr_alloc,1991,2.0,56.0,1924,3.57,2.91
yr_alloc,1992,2.0,93.0,1440,2.15,6.46
yr_alloc,1993,2.0,97.0,1496,2.06,6.48
yr_alloc,1994,6.0,89.0,1792,6.74,4.97
yr_alloc,1995,1.0,72.0,1407,1.39,5.12
yr_alloc,1996,7.0,105.0,1335,6.67,7.87
yr_alloc,1997,14.0,116.0,1408,12.07,8.24
yr_alloc,1998,10.0,141.0,1385,7.09,10.18
yr_alloc,1999,13.0,154.0,1436,8.44,10.72
yr_alloc,2000,9.0,152.0,1418,5.92,10.72
yr_alloc,2001,18.0,166.0,1558,10.84,10.65
yr_alloc,2002,8.0,184.0,1579,4.35,11.65
yr_alloc,2003,12.0,202.0,1689,5.94,11.96
yr_alloc,2004,10.0,166.0,1678,6.02,9.89
yr_alloc,2005,10.0,182.0,1533,5.49,11.87
yr_alloc,2006,11.0,179.0,1562,6.15,11.46
yr_alloc,2007,16.0,174.0,1440,9.2,12.08
yr_alloc,2008,9.0,130.0,1508,6.92,8.62
yr_alloc,2009,9.0,168.0,1473,5.36,11.41
yr_alloc,2010,7.0,145.0,1424,4.83,10.18
yr_alloc,2011,18.0,226.0,1260,7.96,17.94
yr_alloc,2012,16.0,206.0,1286,7.77,16.02
yr_alloc,2013,16.0,216.0,1486,7.41,14.54
yr_alloc,2014,10.0,171.0,1150,5.85,14.87
yr_alloc,2015,15.0,149.0,1226,10.07,12.15
yr_alloc,2016,1.0,75.0,1078,1.33,6.96
yr_alloc,2017,13.0,157.0,1147,8.28,13.69
yr_alloc,2018,14.0,120.0,990,11.67,12.12
yr_alloc,2019,15.0,120.0,778,12.5,15.42
yr_alloc,2020,4.0,15.0,446,26.67,3.36
yr_alloc,2021,,,175,,
yr_alloc,2022,1.0,,46,,
